"","FileDateTime","BinaryFile","EventId","eventType","ModalAngle","MeanAngle","Station","nClicks","comment","lat","long","nCountLT60sec","nCountGT60sec","Recorder","Analyst","MultipleAngles","ICI","DeltaMin"
"1",2016-08-21 01:20:07,"Click_Detector_Click_Detector_Clicks_20160820_073207.pgdf","19","BWunid",134.5,NA,1,53,"B",44.29938,-125.2884,0,53,"ST4300","B",FALSE,NA,NA
"54",2016-08-22 12:10:07,"Click_Detector_Click_Detector_Clicks_20160821_182207.pgdf","21","BWunid",93.5,NA,1,79,"J,MA 90",44.1316,-125.28416,46,33,"ST4300","J",TRUE,NA,2090
"133",2016-08-25 22:30:07,"Click_Detector_Click_Detector_Clicks_20160825_044207.pgdf","23","BWunid",98.5,NA,1,65,"B",43.77612,-125.25597,28,37,"ST4300","B",FALSE,NA,4940
"198",2016-08-28 05:50:07,"Click_Detector_Click_Detector_Clicks_20160827_120207.pgdf","59","ZC",65.5,65.3313262397179,1,100,"B,SR",43.68888,-125.43451,51,49,"ST4300","B",FALSE,NA,3320
"298",2016-08-28 08:40:07,"Click_Detector_Click_Detector_Clicks_20160827_145207.pgdf","60","ZC",27.5,26.122488026019,1,227,"B,SR",43.67686,-125.44545,124,103,"ST4300","B",FALSE,NA,170
"525",2016-08-28 08:50:07,"Click_Detector_Click_Detector_Clicks_20160827_150207.pgdf","61","ZC",0.5,0,1,28,"B,SR",43.67686,-125.44545,28,0,"ST4300","B",FALSE,NA,10
"553",2016-08-28 11:00:07,"Click_Detector_Click_Detector_Clicks_20160827_171207.pgdf","62","ZC",43.5,45.2703024314221,1,185,"B,SR",43.6642,-125.46471,105,80,"ST4300","B",FALSE,NA,130
"738",2016-08-28 11:10:07,"Click_Detector_Click_Detector_Clicks_20160827_172207.pgdf","63","ZC",7.5,7.74362560021374,1,36,"B,SR",43.6642,-125.46471,12,24,"ST4300","B",FALSE,NA,10
"774",2016-08-28 16:30:07,"Click_Detector_Click_Detector_Clicks_20160827_224207.pgdf","64","ZC",65.5,64.0934089286132,1,167,"B,SR,35,18",43.63433,-125.50031,87,80,"ST4300","B",FALSE,NA,320
"941",2016-08-28 19:30:07,"Click_Detector_Click_Detector_Clicks_20160828_014207.pgdf","65","ZC",68.5,68.6395699907605,1,44,"J,SR,34,18",43.61822,-125.51563,20,24,"ST4300","J",FALSE,NA,180
