"","Drift","meanLat","meanLon"
"1",1,43.7844976804734,-125.458751159763
"2",2,41.8121800837989,-125.342683929237
"3",3,38.3645386439195,-124.180504111986
"4",4,36.2532016817063,-122.862815972108
"5",5,34.2155353025641,-121.568229979487
"6",6,32.0876494048321,-119.703960836771
"7",7,30.9983162688232,-122.710469135527
"8",8,33.8213415096548,-125.924435939146
"9",9,36.6695534840132,-128.313023252481
"10",10,39.2713192454893,-129.2873643193
"11",11,42.3465927223131,-129.793642302237
"12",12,45.2477214855305,-129.487994379421
"13",13,46.2021092487752,-128.121145182363
"14",14,47.0779600225734,-125.322924576749
"15",15,42.212192763329,-128.59931053316
"16",16,40.4052918730933,-127.181155680293
"17",17,37.2632054177898,-125.750916948787
"18",18,35.5764339759694,-124.510766903332
"19",19,32.4419434184562,-123.101320104469
"20",20,33.3751840503433,-119.893886009153
"21",21,35.8122135850907,-122.168138445316
"22",22,33.7146726324596,-121.279875978806
"23",23,33.0508403076923,-120.980415538462
"24",24,33.0931112041885,-120.905441204188
"25",25,33.1319356842105,-120.928922473684
"26",26,34.0715156756757,-120.953461621622
"27",27,34.0846015068493,-120.960239589041
"28",28,33.9127743457944,-120.990941869159
"29",29,34.035856460177,-120.913446283186
"30",30,34.0425926086956,-120.947309478261
