"","dateTime","spotID","readingType","lat","long","NA","NA"
"1780","9/25/2016 20:58","0-2572498","UNLIMITED-TRACK",34.08626,-120.84152,NA,""
"1796","9/25/2016 20:29","0-2572498","UNLIMITED-TRACK",34.08736,-120.84253,NA,""
"1810","9/25/2016 19:58","0-2572498","UNLIMITED-TRACK",34.08849,-120.8438,NA,""
"1825","9/25/2016 19:29","0-2572498","UNLIMITED-TRACK",34.08966,-120.84572,NA,""
"1841","9/25/2016 18:58","0-2572498","UNLIMITED-TRACK",34.09062,-120.8486,NA,""
"1857","9/25/2016 18:29","0-2572498","UNLIMITED-TRACK",34.09114,-120.85193,NA,""
"1873","9/25/2016 17:59","0-2572498","UNLIMITED-TRACK",34.09124,-120.85579,NA,""
"1889","9/25/2016 17:29","0-2572498","UNLIMITED-TRACK",34.09094,-120.85968,NA,""
"1906","9/25/2016 16:59","0-2572498","UNLIMITED-TRACK",34.09031,-120.8638,NA,""
"1922","9/25/2016 16:30","0-2572498","UNLIMITED-TRACK",34.0895,-120.86755,NA,""
"1939","9/25/2016 16:00","0-2572498","UNLIMITED-TRACK",34.08859,-120.87088,NA,""
"1955","9/25/2016 15:30","0-2572498","UNLIMITED-TRACK",34.08773,-120.87376,NA,""
"1970","9/25/2016 14:59","0-2572498","UNLIMITED-TRACK",34.08696,-120.87639,NA,""
"1985","9/25/2016 14:30","0-2572498","UNLIMITED-TRACK",34.08641,-120.87881,NA,""
"2001","9/25/2016 14:00","0-2572498","UNLIMITED-TRACK",34.08591,-120.88139,NA,""
"2016","9/25/2016 13:31","0-2572498","UNLIMITED-TRACK",34.0852,-120.8839,NA,""
"2033","9/25/2016 13:00","0-2572498","UNLIMITED-TRACK",34.08455,-120.88632,NA,""
"2049","9/25/2016 12:31","0-2572498","UNLIMITED-TRACK",34.08397,-120.88873,NA,""
"2062","9/25/2016 12:01","0-2572498","UNLIMITED-TRACK",34.08339,-120.89114,NA,""
"2079","9/25/2016 11:32","0-2572498","UNLIMITED-TRACK",34.08307,-120.89343,NA,""
"2094","9/25/2016 11:01","0-2572498","UNLIMITED-TRACK",34.08268,-120.896,NA,""
"2108","9/25/2016 10:32","0-2572498","UNLIMITED-TRACK",34.08231,-120.89845,NA,""
"2124","9/25/2016 10:01","0-2572498","UNLIMITED-TRACK",34.08211,-120.90137,NA,""
"2139","9/25/2016 09:31","0-2572498","UNLIMITED-TRACK",34.08173,-120.90454,NA,""
"2152","9/25/2016 09:04","0-2572498","UNLIMITED-TRACK",34.08135,-120.90755,NA,""
"2168","9/25/2016 08:31","0-2572498","UNLIMITED-TRACK",34.08072,-120.9113,NA,""
"2180","9/25/2016 08:03","0-2572498","UNLIMITED-TRACK",34.08009,-120.91484,NA,""
"2196","9/25/2016 07:32","0-2572498","UNLIMITED-TRACK",34.07949,-120.91866,NA,""
"2211","9/25/2016 07:02","0-2572498","UNLIMITED-TRACK",34.07873,-120.92238,NA,""
"2225","9/25/2016 06:35","0-2572498","UNLIMITED-TRACK",34.07794,-120.92555,NA,""
"2242","9/25/2016 06:02","0-2572498","UNLIMITED-TRACK",34.07678,-120.92943,NA,""
"2256","9/25/2016 05:32","0-2572498","UNLIMITED-TRACK",34.07557,-120.93269,NA,""
"2272","9/25/2016 05:02","0-2572498","UNLIMITED-TRACK",34.07424,-120.93604,NA,""
"2287","9/25/2016 04:33","0-2572498","UNLIMITED-TRACK",34.07306,-120.93915,NA,""
"2302","9/25/2016 04:02","0-2572498","UNLIMITED-TRACK",34.07222,-120.94231,NA,""
"2319","9/25/2016 03:33","0-2572498","UNLIMITED-TRACK",34.07152,-120.94536,NA,""
"2336","9/25/2016 03:03","0-2572498","UNLIMITED-TRACK",34.07074,-120.94885,NA,""
"2352","9/25/2016 02:34","0-2572498","UNLIMITED-TRACK",34.0701,-120.95197,NA,""
"2368","9/25/2016 02:04","0-2572498","UNLIMITED-TRACK",34.06928,-120.95506,NA,""
"2383","9/25/2016 01:34","0-2572498","UNLIMITED-TRACK",34.06885,-120.95755,NA,""
"2397","9/25/2016 01:03","0-2572498","UNLIMITED-TRACK",34.06855,-120.96027,NA,""
"2412","9/25/2016 00:34","0-2572498","UNLIMITED-TRACK",34.06806,-120.96297,NA,""
"2427","9/25/2016 00:04","0-2572498","UNLIMITED-TRACK",34.06787,-120.9657,NA,""
"2443","9/24/2016 23:35","0-2572498","UNLIMITED-TRACK",34.068,-120.96831,NA,""
"2459","9/24/2016 23:04","0-2572498","UNLIMITED-TRACK",34.06822,-120.97113,NA,""
"2475","9/24/2016 22:35","0-2572498","UNLIMITED-TRACK",34.06847,-120.97401,NA,""
"2492","9/24/2016 22:04","0-2572498","UNLIMITED-TRACK",34.0689,-120.97737,NA,""
"2507","9/24/2016 21:35","0-2572498","UNLIMITED-TRACK",34.06937,-120.98085,NA,""
"2522","9/24/2016 21:05","0-2572498","UNLIMITED-TRACK",34.06976,-120.98479,NA,""
"2540","9/24/2016 20:35","0-2572498","UNLIMITED-TRACK",34.07021,-120.98904,NA,""
"2555","9/24/2016 20:04","0-2572498","UNLIMITED-TRACK",34.07045,-120.99307,NA,""
"2571","9/24/2016 19:35","0-2572498","UNLIMITED-TRACK",34.07024,-120.99728,NA,""
"2587","9/24/2016 19:04","0-2572498","UNLIMITED-TRACK",34.06943,-121.00166,NA,""
"2603","9/24/2016 18:35","0-2572498","UNLIMITED-TRACK",34.06838,-121.00594,NA,""
"2618","9/24/2016 18:05","0-2572498","UNLIMITED-TRACK",34.06756,-121.0103,NA,""
"2634","9/24/2016 17:35","0-2572498","UNLIMITED-TRACK",34.06666,-121.01457,NA,""
"2650","9/24/2016 17:05","0-2572498","UNLIMITED-TRACK",34.06553,-121.01912,NA,""
"2665","9/24/2016 16:35","0-2572498","UNLIMITED-TRACK",34.06424,-121.02358,NA,""
"2681","9/24/2016 16:05","0-2572498","UNLIMITED-TRACK",34.06292,-121.02786,NA,""
"2698","9/24/2016 15:36","0-2572498","UNLIMITED-TRACK",34.06159,-121.03227,NA,""
"2715","9/24/2016 15:05","0-2572498","UNLIMITED-TRACK",34.06006,-121.03668,NA,""
"2731","9/24/2016 14:36","0-2572498","UNLIMITED-TRACK",34.0583,-121.04071,NA,""
