,X,FileDateTime,BinaryFile,EventId,eventType,ModalAngle,MeanAngle,Station,nClicks,comment,lat,long,nCountLT60sec,nCountGT60sec,Recorder,Analyst,MultipleAngles,ICI,DeltaMin,UTCtime
4,198,8/28/2016 5:50,Click_Detector_Click_Detector_Clicks_20160827_120207.pgdf,59,ZC,65.5,114.6686738,1,100,"B,SR",43.68888,-125.43451,51,49,ST4300,B,FALSE,NA,3320,8/28/2016 5:50
5,298,8/28/2016 8:40,Click_Detector_Click_Detector_Clicks_20160827_145207.pgdf,60,ZC,27.5,153.877512,1,227,"B,SR",43.67686,-125.44545,124,103,ST4300,B,FALSE,NA,170,8/28/2016 8:40
6,525,8/28/2016 8:50,Click_Detector_Click_Detector_Clicks_20160827_150207.pgdf,61,ZC,0.5,180,1,28,"B,SR",43.67686,-125.44545,28,0,ST4300,B,FALSE,NA,10,8/28/2016 8:50
7,553,8/28/2016 11:00,Click_Detector_Click_Detector_Clicks_20160827_171207.pgdf,62,ZC,43.5,134.7296976,1,185,"B,SR",43.6642,-125.46471,105,80,ST4300,B,FALSE,NA,130,8/28/2016 11:00
8,738,8/28/2016 11:10,Click_Detector_Click_Detector_Clicks_20160827_172207.pgdf,63,ZC,7.5,172.2563744,1,36,"B,SR",43.6642,-125.46471,12,24,ST4300,B,FALSE,NA,10,8/28/2016 11:10
9,774,8/28/2016 16:30,Click_Detector_Click_Detector_Clicks_20160827_224207.pgdf,64,ZC,65.5,115.9065911,1,167,"B,SR,35,18",43.63433,-125.50031,87,80,ST4300,B,FALSE,NA,320,8/28/2016 16:30
10,941,8/28/2016 19:30,Click_Detector_Click_Detector_Clicks_20160828_014207.pgdf,65,ZC,68.5,111.36043,1,44,"J,SR,34,18",43.61822,-125.51563,20,24,ST4300,J,FALSE,NA,180,8/28/2016 19:30
11,985,8/28/2016 19:40,Click_Detector_Click_Detector_Clicks_20160828_015207.pgdf,66,ZC,56.5,123.3801117,1,67,"B,SR",43.6179,-125.51582,55,12,ST4300,B,FALSE,NA,10,8/28/2016 19:40
33,53477,8/22/2016 3:48,Click_Detector_Click_Detector_Clicks_20160821_204826.pgdf,1,ZC,56.5,123.5494615,4,21,"B,SR",36.35592,-122.93871,19,2,ST4300,B,FALSE,NA,-9999,8/22/2016 3:48
36,53510,8/22/2016 18:08,Click_Detector_Click_Detector_Clicks_20160822_110826.pgdf,3,ZC,74.5,105.5111249,4,28,"B,SR,18,22,35",36.35207,-122.93433,0,28,ST4300,B,FALSE,NA,330,8/22/2016 18:08
37,53538,8/23/2016 1:08,Click_Detector_Click_Detector_Clicks_20160822_180826.pgdf,4,ZC,58.5,120.9627827,4,5,B,36.35236,-122.96733,2,3,ST4300,B,FALSE,NA,420,8/23/2016 1:08
38,53543,8/23/2016 1:18,Click_Detector_Click_Detector_Clicks_20160822_181826.pgdf,5,ZC,51.5,129.0017109,4,98,"B,SR MA",36.35236,-122.96733,80,18,ST4300,B,TRUE,NA,10,8/23/2016 1:18
39,53641,8/23/2016 1:48,Click_Detector_Click_Detector_Clicks_20160822_184826.pgdf,6,ZC,64.5,115.7736111,4,3,"B,SR",36.35543,-122.96645,3,0,ST4300,B,FALSE,NA,30,8/23/2016 1:48
43,54236,8/23/2016 7:28,Click_Detector_Click_Detector_Clicks_20160823_002826.pgdf,10,ZC,55.5,124.3696141,4,15,"B,SR",36.35036,-122.93547,2,13,ST4300,B,FALSE,NA,230,8/23/2016 7:28
46,54282,8/24/2016 5:28,Click_Detector_Click_Detector_Clicks_20160823_222826.pgdf,71,ZC,70.5,109.612791,4,3,B,36.35744,-122.93945,3,0,ST4300,B,FALSE,NA,290,8/24/2016 5:28
47,54285,8/24/2016 5:38,Click_Detector_Click_Detector_Clicks_20160823_223826.pgdf,13,ZC,56.5,118.9914157,4,20,"B,SR MA",36.35744,-122.93945,20,0,ST4300,B,TRUE,NA,10,8/24/2016 5:38
48,54305,8/24/2016 8:48,Click_Detector_Click_Detector_Clicks_20160824_014826.pgdf,14,ZC,56.5,123.1403038,4,8,"B,SR",36.342,-122.93246,0,8,ST4300,B,FALSE,NA,190,8/24/2016 8:48
50,54337,8/24/2016 23:48,Click_Detector_Click_Detector_Clicks_20160824_164826.pgdf,72,ZC,65.5,114.9528321,4,3,"B,SR",36.33691,-122.94109,3,0,ST4300,B,FALSE,NA,500,8/24/2016 23:48
51,54340,8/25/2016 2:38,Click_Detector_Click_Detector_Clicks_20160824_193826.pgdf,16,ZC,76.5,104.2661904,4,16,"B,SR",36.34447,-122.94699,9,7,ST4300,B,FALSE,NA,170,8/25/2016 2:38
54,54473,8/25/2016 7:18,Click_Detector_Click_Detector_Clicks_20160825_001826.pgdf,18,ZC,52.5,127.2561106,4,93,"B,SR",36.3368,-122.92673,72,21,ST4300,B,FALSE,NA,20,8/25/2016 7:18
55,54566,8/25/2016 7:28,Click_Detector_Click_Detector_Clicks_20160825_002826.pgdf,19,ZC,32.5,148.2393389,4,18,"B,SR",36.33568,-122.92641,18,0,ST4300,B,FALSE,NA,10,8/25/2016 7:28
56,54584,8/25/2016 15:58,Click_Detector_Click_Detector_Clicks_20160825_085826.pgdf,73,ZC,73.5,106.5127722,4,11,B,36.33025,-122.93919,0,11,ST4300,B,FALSE,NA,510,8/25/2016 15:58
57,54595,8/25/2016 21:58,Click_Detector_Click_Detector_Clicks_20160825_145826.pgdf,20,ZC,63.5,116.0844817,4,10,B,36.31919,-122.92276,10,0,ST4300,B,FALSE,NA,360,8/25/2016 21:58
62,55054,8/25/2016 23:58,Click_Detector_Click_Detector_Clicks_20160825_165826.pgdf,25,ZC,75.5,104.7914087,4,12,B,36.31697,-122.92686,8,4,ST4300,B,FALSE,NA,58.2,8/25/2016 23:58
